name,price,production_year,kilometeres_driven,fuel_capacity,fuel_type,thumbnail
Chevrolet Camaro,59 000 PLN,2014,91 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InV0aXpnY2xlaWFvcC1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.CcXw_l1HCvI2OHHTYEMXDuhfuInHQ8cFx7s-JQrEzdM/image;s=320x240
Chevrolet Camaro,62 900 PLN,2014,180 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im12cjR3YWdhZjY1NDEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.0pMrGNpxI7wRCikiA27sVi35uyJtcGOBaPF5MEM20Y0/image;s=320x240
Chevrolet Camaro Coupe 6.2 V8,155 000 PLN,2018,65 767 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inh3amx3emJwcWR5OTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.PpDPh_r43Sva9yJK0aNA9EtAE_gW3MOOIB0_wesJK9k/image;s=320x240
Chevrolet Camaro Cabrio 6.2 V8,299 000 PLN,2013,83 000 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InY4N2dlbGN4aWZ1aTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.QXFxbfykO_QBE39KrZC47AY_-Ml0BVBA6BxeqVNuGxE/image;s=320x240
Chevrolet Camaro Coupe 6.2 V8,84 000 PLN,2020,89 800 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRmeWR4NjcyZXRpYjEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.oNvw1JpYcc0UB8SlKww5g5MB0E7nYbye6R-vJCXXN2I/image;s=644x461
Chevrolet Camaro,95 000 PLN,2017,108 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imp1aWJ4cG04ZzcwaDMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.QGK92og_s3Sg7yHqSgMwRoMYhclfTNyNEHOi7c79fjs/image;s=320x240
Chevrolet Camaro,134 900 PLN,2018,65 600 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBodWZmY2V6bzhmbTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.WCwzDEY3C4RnQgxXSbHO3-2W9cWDZtzyTqfeLbDEJNA/image;s=320x240
Chevrolet Camaro,139 900 PLN,2013,119 750 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZudDg4OHRydnpseTItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.5Y3SGGNo8Oc_OBn5kLMxC4kyuZRq_-RAZkfK4ArMOfw/image;s=320x240
Chevrolet Camaro,96 999 PLN,2016,94 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBvM2lkbnRmcjdjNDEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.uExnnPue1JNnWQqoA3cXD-N7he35HIqkSxONdrNlXk8/image;s=320x240
Chevrolet Camaro Coupe 2.0,99 900 PLN,2017,29 500 km,1 998 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjIzOHNpZHJkdzF0dC1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.BlbKj7W6veJZorfXZ1JMJnjwEQ5NXulq0MErpX-nNUQ/image;s=320x240
Chevrolet Camaro 3.6 V6 Coupe 2LT,119 000 PLN,2017,85 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inlya3lhcDk3aXFqNTMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.aQmiOyH5Q3YPPX6-cSE2ecgWFjQvL30PQQi1MKSZdhU/image;s=320x240
Chevrolet Camaro,80 000 PLN,2017,135 236 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndqcTNjNTBtdTVoMTEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.gW7_0HrsHBFlTcJYl9aoK1-LTxiUzoLPQSfieeWMkmI/image;s=320x240
Chevrolet Camaro,143 000 PLN,2016,74 000 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imkzb2htdHgwMXI1bC1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.yEj2nY450rz8VMdzM6-PVOvdYkyOf_zYPB3-gdcTHHI/image;s=320x240
Chevrolet Camaro 3.6 V6 Coupe 2LT,41 900 PLN,2016,75 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZjcTVmN2g5cDkzODMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.eFIiURaxjNYLFAktXiV8GUt4fVed4x7xSpBwURuaaxk/image;s=320x240
Chevrolet Camaro,68 900 PLN,2016,36 700 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlmZmNvZmtrbjJxcDEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.wCl6dHKZUaMkoxX-6MH5WcA2JEHP9GVUHNx4Vw41iCw/image;s=320x240
Chevrolet Camaro 6.2 V8 Coupe,124 000 PLN,2014,26 000 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtybW5ldm11c3FwbC1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.-FV6SSBIq9Jrw_LBxUVbAJLfvk5sgxnkJ69FyCpbmmQ/image;s=320x240
Chevrolet Camaro,40 000 PLN,2011,146 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imt2a2t4dmlpYnBzcjMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.MRsOKiRSetLtNM4FaZ8-C3kPwYsFO7gpgyHMi3hvolw/image;s=320x240
Chevrolet Camaro Coupe 6.2 V8,174 900 PLN,2019,12 500 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inl5ajVzd3huNmI5My1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.NLWzohsFOO5jyQi2hhJdMUAeOf9SsEmWhZxz5IvkG6A/image;s=320x240
Chevrolet Camaro Coupe 6.2 V8,193 000 PLN,2018,13 141 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjF2am8yZnlsZ3MwdzEtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.4doZDZmfM3cpyeZg8ELRgHrZpDPB6HdmAZ2SIok5THE/image;s=320x240
Chevrolet Camaro,239 000 PLN,1968,120 000 km,5 700 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtiNjJ1NDh1N2lxNy1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.RYkgO4-0vOLjIC10mSnchqddV10nlglb8FlEzJzT37c/image;s=320x240
Chevrolet Camaro 3.6 V6 Coupe 1LS,67 000 PLN,2014,70 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRhaXV2dDkzMjM5NzItT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.fhLl1MYgQFTYECv47W94varojinto1_iotNv330v3S4/image;s=320x240
Chevrolet Camaro,99 850 PLN,2012,69 532 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InczNzJmM3dyb3FjdTMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.qfhVlmpWgoSDqoVHXFoNBgbS8R0tdeRJmOKNoKvYJXM/image;s=320x240
Chevrolet Camaro 3.6 V6 Coupe 2LT,121 000 PLN,2016,123 000 km,3 600 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9zMDEzNDdodWdlMzMtT1RPTU9UT1BMIiwidyI6W3siZm4iOiJ3ZzRnbnFwNnkxZi1PVE9NT1RPUEwiLCJzIjoiMTYiLCJwIjoiMTAsLTEwIiwiYSI6IjAifV19.SvrHATRV2wweWLkpvnYLKxTIuoBd_ed-BN-524lC0nY/image;s=320x240
Chevrolet Camaro,309 000 PLN,2017,20 000 km,6 162 cm3,Benzyna,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InkzNjFzZmk2cjY4Ni1PVE9NT1RPUEwiLCJ3IjpbeyJmbiI6IndnNGducXA2eTFmLU9UT01PVE9QTCIsInMiOiIxNiIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.pb3JfVBIsnoOS8Lj_uKUhFoMmuCrZ9G0oKyFOxCAj74/image;s=320x240
